PolicyNum,Year,Premium,Deduct,BCcov,Freq,Fire5,NoClaimCredit,EntityType,AlarmCredit,BCClaim
120002,2006,9313,1000.0,22714456.0,0,1,0,3,1,0.0
120002,2007,8767,1000.0,25046646.0,0,1,0,3,1,0.0
120002,2008,7090,1000.0,20851525.0,0,1,1,3,1,0.0
120002,2009,8522,1000.0,21852696.0,0,1,1,3,1,0.0
120002,2010,7994,1000.0,23511493.0,1,1,1,3,1,6838.87
120003,2006,40735,5000.0,99353377.0,0,1,0,3,4,0.0
120003,2007,39728,5000.0,104546824.0,5,1,0,3,4,15500.0
120003,2008,42280,5000.0,111265009.0,1,1,0,3,4,8775.0
120003,2009,36893,5000.0,119005219.0,2,1,0,3,4,37470.91
120003,2010,36687,5000.0,114646079.0,1,1,0,3,4,9711.28
120004,2006,16823,500.0,25879634.0,3,1,0,3,4,13003.08
120004,2007,20507,500.0,29720359.0,1,1,0,3,4,32733.44
120004,2008,22694,500.0,31088524.0,0,1,0,3,4,0.0
120004,2009,18185,1000.0,33064745.0,3,1,0,3,4,42600.43
120004,2010,17839,1000.0,31853574.0,1,1,0,3,4,10323.5
120005,2006,19192,1000.0,31462584.0,0,1,0,3,4,0.0
120005,2007,14245,5000.0,33128746.0,5,1,0,3,4,144005.39
120005,2008,15397,5000.0,34995158.0,0,1,0,3,4,0.0
120005,2009,14050,5000.0,36974202.0,2,1,0,3,4,27480.88
120005,2010,12431,5000.0,32713698.0,0,1,0,3,4,0.0
120008,2006,21644,500.0,46051532.0,3,1,0,3,4,48060.82
120008,2007,18928,500.0,49811334.0,2,1,0,3,4,2250.0
120008,2008,17809,500.0,43438490.0,2,1,0,3,4,713.15
120008,2009,18144,500.0,45360920.0,2,1,0,3,4,12014.69
120008,2010,16090,500.0,47321724.0,1,1,0,3,4,3469.79
120009,2006,15988,25000.0,66618639.0,0,1,0,3,4,0.0
120009,2007,16120,25000.0,70089341.0,0,1,0,3,4,0.0
120009,2008,16948,25000.0,73688951.0,0,1,1,3,4,0.0
120009,2009,15044,25000.0,75219452.0,2,1,1,3,4,5474.3
120009,2010,15180,25000.0,72286976.0,0,1,0,3,4,0.0
120010,2009,16334,25000.0,71017505.0,7,0,0,3,1,20110.06
120010,2010,15861,25000.0,99135847.0,1,0,0,3,4,35000.0
120012,2006,196802,500.0,447277005.0,20,1,0,3,4,55273.39
120012,2007,196055,500.0,478182819.0,15,1,0,3,4,366403.42
120012,2008,214762,500.0,511339313.0,11,1,0,3,4,47562.49
